Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
15,Dr. Jitendra Singh ,5,5,
22,Dr. Sanjay Jaiswal ,3,7,
30,Shri G. Kishan Reddy ,1,9,
31,Shri Rakesh Singh ,10,0,
32,Shri Nishikant Dubey ,10,0,
33,Shri Ganesh Singh ,5,5,
34,Dr. Kirit Solanki ,9,1,
35,Shri Uday Pratap Singh ,8,2,
37,Shri Rameswar Teli ,10,0,
38,Shri Som Parkash ,1,9,
39,Shri Pratap Chandra Sarangi ,1,9,
40,Dr. Satya Pal Singh ,3,7,
41,Dr. Mahesh Sharma ,10,0,
42,Shri Rajendra Agrawal ,10,0,
43,Dr. Ram Shankar Katheria ,1,9,
44,Shri Naranbhai Kachhadiya ,10,0,
46,Shri Lalubhai Patel ,10,0,
47,Shri Shivkumar Udasi ,10,0,
48,Shri Varun Gandhi ,9,1,
50,Shri Devji Patel ,10,0,
51,Shri Ajay Tamta ,10,0,
52,Shri Sudarshan Bhagat ,10,0,
53,Shri Rajyavardhan Singh Rathore ,10,0,
54,Shri Jayant Sinha ,10,0,
55,Shri Vishnu Dayal Ram ,10,0,
56,Shri Bhagwant Kubha ,10,0,
57,Shri B. Y. Raghavendra ,10,0,
58,Shri Pratap Simha ,10,0,
59,Shri Subhash Baheria ,10,0,
60,Shri Sunil Kumar Singh ,10,0,
61,Shri Jugal Kishore ,1,9,
62,Shri Ram Swaroop Sharma ,10,0,
64,Shri Vinodbhai Chavda ,10,0,
65,Shri Karadi Sanganna Amarappa ,10,0,
66,Shri Janardan Mishra ,10,0,
68,Shri Ashok Nete ,7,3,
69,Shri Ramdas C. Tadas ,9,1,
71,Shri Kapil Patil ,10,0,
73,Shri Saumitra Khan ,2,8,
74,Shri Satish Kumar Gautam ,10,0,
75,Shri Guharam Ajgalley ,10,0,
76,Shri Ajay Bhatt ,10,0,
77,Shri Tirath Singh Rawat ,10,0,
78,Shri Ramesh Bidhuri ,10,0,
79,Shri Manoj Tiwari ,10,0,
80,Shri Parvesh Verma ,5,5,
81,Shri Tejasvi Surya ,9,1,
82,Shri Ramesh Dhaduk ,10,0,
83,Shri Parbatbhai Patel ,9,1,
84,Shri Mitesh Patel (Bakabhai) ,10,0,
85,Dr. Mahendrabhai Munjapara ,10,0,
87,Shri Bharatsinh Dabhi ,10,0,
88,Dr. Umesh Jadhav ,10,0,
89,Shri S. Muniswamy ,10,0,
90,Shri Raja Amreshwara Naik ,10,0,
91,Shri Y. Devendrappa ,10,0,
93,Shri Annasaheb Jolle ,7,3,
94,Shri A. Narayanaswamy ,8,2,
95,Shri Ratan Rathod ,9,1,
96,Dr. Subhas Sarkar ,10,0,
97,Shri Shantanu Thakur ,10,0,
100,Smt. Maneka Sanjay Gandhi ,10,0,
101,Shri Sukhbir Singh Badal ,3,7,
102,Dr. Virendra Kumar ,10,0,
103,Shri Brijbhushan Sharan Singh ,10,0,
107,Shri Radha Mohan Singh ,5,5,
109,Shri Mansukhbhai Vasava ,7,3,
111,Shri Sakshi Maharaj ,10,0,
112,Shri Pankaj Choudhary ,10,0,
114,Shri Virendra Singh ,10,0,
115,Shri Arvind Sharma ,8,2,
116,Shri P. C. Gaddigoudar ,10,0,
117,Shri Dushyant Singh ,10,0,
118,Shri Rajesh Verma ,10,0,
119,Shri Kirti Vardhan Singh ,10,0,
120,Shri Sushil Kumar Singh ,10,0,
121,Smt. Darshana Vikram Jardosh ,10,0,
122,Smt. Mala Rajya Laxmi Shah ,10,0,
123,Smt. Jaskaur Meena ,10,0,
124,Km. Shobha Karandlaje ,10,0,
126,Smt. Poonamben Maadam ,10,0,
129,Smt. Ranjanben Bhatt ,10,0,
130,Smt. Rekha Verma ,10,0,
131,Dr. Bharatiben Shyal ,3,7,
132,Dr. (Smt.) Pritam Gopinath Munde ,9,1,
133,Dr. Heena Gavit ,10,0,
134,Smt. Riti Pathak ,10,0,
135,Smt. Navnit Ravi Rana ,10,0,
136,Smt. Raksha Khadse ,10,0,
137,Smt. Aparajita Sarangi ,10,0,
138,Smt. Sumalatha Ambareesh ,9,1,
139,Ms. Locket Chatterjee ,10,0,
140,Smt. Keshari Patel ,10,0,
141,Smt. Ranjeeta Koli ,10,0,
142,Dr. Sanghamitra Maurya ,10,0,
143,Shri Sumedhanand Saraswati ,10,0,
144,Shri Ajay Nishad ,10,0,
145,Shri Pradeep Kumar Singh ,10,0,
146,Shri Gopal Shetty ,10,0,
147,Shri Ramapati Ram Tripathi ,10,0,
148,Shri Subhash Bhamre ,10,0,
149,Shri Dilip Ghosh ,10,0,
150,Shri Kanakmal Katara ,10,0,
151,Shri Rajveer Singh (Raju Bhaiya) ,10,0,
152,Dr. Manoj Rajoria ,10,0,
153,Shri Rahul Kaswan ,10,0,
154,Shri Ramcharan Bohra ,10,0,
156,Shri Sunny Deol ,3,7,
157,Shri Bhola Singh ,10,0,
158,Shri Devendra Bhole ,10,0,
159,Shri Ajay Kumar ,9,1,
160,Shri Arjun Lal Meena ,10,0,
161,Dr. Chandrasen Jadon ,10,0,
162,Shri Jyotirmay Singh Mahato ,10,0,
163,Shri Nisith Pramanik ,10,0,
164,Shri John Barla ,10,0,
167,Shri Jagannath Sarkar ,7,3,
168,Shri Arjun Singh ,10,0,
169,Shri Kunar Hembram ,10,0,
170,Shri Dhal Singh Bisen ,10,0,
171,Shri Raju Bista ,10,0,
172,Shri Khagen Murmu ,10,0,
173,Shri Ravindra Shyamnarayan Shukla alias Ravi Kishan ,9,1,
174,Shri Vijay Kumar Dubey ,7,3,
175,Shri Bholanath (B.P. Saroj) ,10,0,
176,Shri Upendra Rawat ,10,0,
177,Shri Satyadev Pachauri ,9,1,
178,Shri Sangam Lal Gupta ,10,0,
179,Shri Ramesh Chand ,10,0,
180,Shri Rebati Tripura ,10,0,
182,Shri Rajkumar Chahar ,6,4,
183,Shri Praveen Nishad ,8,2,
184,Shri Pradeep Kumar ,10,0,
185,Shri Jai Prakash Rawat ,6,4,
186,Sadhvi Pragya Singh Thakur ,10,0,
195,Smt. Sangeeta Singh Deo ,10,0,
196,Smt. Poonam Mahajan ,9,1,
197,Shri Ram Kripal Yadav ,6,4,
198,Shri Jual Oram ,10,0,
199,Prof. S.P. Singh Baghel ,9,1,
200,Shri Ramesh Jigajinagi ,10,0,
201,Shri Bhanu Pratap Singh Verma ,10,0,
203,Smt. Rama Devi ,10,0,
204,Shri G.M. Siddeshwara ,10,0,
205,Shri Nihal Chand ,10,0,
206,Shri Pashupati Nath Singh ,10,0,
207,Shri G. S. Basavaraj ,5,5,
208,Shri Chhedi Paswan ,7,3,
209,Shri Jagdambika Pal ,10,0,
210,Shri Dharambir Singh ,9,1,
211,Shri Vinod Sonkar ,10,0,
212,Shri C. P. Joshi ,10,0,
214,Shri Ramesh Kaushik ,10,0,
215,Shri Jaswantsinh Bhabhor ,10,0,
216,Shri Mohanbhai Kundariya ,8,2,
217,Shri Sudhir Gupta ,10,0,
218,Ms. Pratima Bhoumik ,6,4,
219,Smt. Diya Kumari ,10,0,
221,Smt. Gomati Sai ,10,0,
222,Smt. Annpurna Devi ,10,0,
223,Smt. Gitaben Rathva ,10,0,
224,Smt. Shardaben Patel ,10,0,
225,Smt. Sunita Duggal ,10,0,
226,Smt. Himadri Singh ,10,0,
227,Smt. Sandhya Ray ,7,3,
228,Dr. Bharti Pawar ,10,0,
229,Shri Devusinh Chauhan ,10,0,
230,Shri Dipsinh S. Rathod ,10,0,
231,Shri K. C. Patel ,10,0,
232,Shri Rajesh Chudasama ,9,1,
233,Shri Dharmendra Kashyap ,10,0,
234,Shri Harish Chandra alias Harish Dwivedi ,9,1,
235,Shri Lallu Singh ,10,0,
236,Shri Mukesh Rajput ,10,0,
237,Shri Pushpendra Singh Chandel ,10,0,
238,Shri Rajvir Diler ,10,0,
239,Shri Ravindra Kushwaha ,10,0,
240,Shri Ashok Rawat ,10,0,
241,Shri Arun Kumar Sagar ,10,0,
242,Shri Anurag Sharma ,10,0,
243,Shri Akshaibar Lal ,7,3,
244,Shri Gautam Gambhir ,8,2,
245,Shri Hans Raj Hans ,10,0,
246,Shri Soyam Babu Rao ,8,2,
247,Shri D. Arvind ,10,0,
248,Shri R.K. Singh Patel ,10,0,
249,Shri Shankar Lalwani ,8,2,
250,Shri Ramakant Bhargava ,8,2,
251,Shri Raj Bahadur Singh ,8,2,
252,Shri Mahendra Solanky ,9,1,
253,"Shri Krishna Pal Singh ""Dr. K.P. Yadav"" ",10,0,
254,Shri G.S. Damor ,3,7,
255,Shri Gajendra Patel ,10,0,
256,Shri Durga Das (D.D.) Uikey ,10,0,
258,Shri Vishnu Datt Sharma ,1,9,
259,Shri Anil Firojiya ,7,3,
260,Shri Vivek Shejwalkar ,9,1,
261,Shri Sunil Baburao Mendhe ,10,0,
262,Shri Sujay Vikhe Patil ,10,0,
263,Shri Sudhakar Tukaram Shrangare ,9,1,
264,Shri Ranjeetsinha H. Naiknimbalkar ,7,3,
266,Shri Manoj Kotak ,10,0,
267,Dr. Jai Siddeshwar Shivachary ,9,1,
268,Shri Girish Bapat ,10,0,
269,Shri Unmesh Patil ,10,0,
270,Shri Vijay Baghel ,10,0,
271,Shri Sunil Kumar Soni ,10,0,
272,Shri Pallab Lochan Das ,10,0,
274,Shri Rajdeep Roy ,10,0,
275,Shri Santosh Pandey ,6,4,
276,Smt. Harsimrat Kaur Badal ,2,8,
277,Shri Rajiv Ranjan Singh @ Lalan Singh ,10,0,
278,Shri Dinesh Chandra Yadav ,10,0,
280,Shri Arvind Sawant ,10,0,
281,Shri Rajiv Pratap Rudy ,10,0,
283,Shri Kaushalendra Kumar ,10,0,
284,Shri Gajanan Kirtikar ,10,0,
285,Shri Chirag Paswan ,1,9,
286,Shri P.P. Chaudhary ,10,0,
287,Shri P. C. Mohan ,10,0,
288,Smt. Bhavana Gawali ,3,7,
290,Smt. Anupriya Patel ,10,0,
291,Shri Mohan S. Delkar ,10,0,
292,Shri Tapir Gao ,10,0,
294,Shri Parbhubhai Vasava ,10,0,
295,Shri Kamlesh Paswan ,10,0,
296,Shri Prince Raj ,5,5,
298,Shri P. Ravindhranath ,10,0,
300,Shri C. Lalrosanga ,6,4,
301,Shri Hanuman Beniwal ,4,6,
303,Shri Chandra Prakash Choudhary ,10,0,
304,Shri Indra Hang Subba ,10,0,
305,Shri Giridhari Yadav ,9,1,
306,Shri Rajan Vichare ,10,0,
307,Shri Sanjay Jadhav ,8,2,
308,Shri Chandan Singh ,7,3,
309,Shri Rahul Shewale ,9,1,
310,Shri Shreerang Appa Chandu Barne ,10,0,
311,Dr. Shrikant Shinde ,4,6,
312,Shri Krupal Balaji Tumane ,9,1,
313,Shri Hemant Godse ,5,5,
314,Shri Sanjay Bhatia ,10,0,
315,Shri Mahabali Singh ,10,0,
316,Shri Santosh Kumar ,10,0,
317,Shri Dileshwar Kamait ,10,0,
318,Shri Lorho S. Pfoze ,9,1,
319,Shri Balak Nath ,7,3,
320,Shri Bhagirath Chaudhary ,10,0,
321,Shri Nitesh Ganga Deb ,9,1,
322,Shri Bishweswar Tudu ,10,0,
323,Shri Pakauri Lal Kaul ,10,0,
324,Smt. Kavita Singh ,10,0,
325,Shri Dulal Chandra Goswami ,10,0,
326,Shri Rajendra Gavit ,10,0,
328,Shri Om Prakash B. alias Pawan Rajenimbalkar ,9,1,
329,Shri Brijendra Singh ,9,1,
330,Shri Mohan Mandavi ,10,0,
332,Shri Arun Sao ,10,0,
333,Shri Sanjay Seth ,10,0,
335,Shri Suresh Kashyap ,10,0,
336,Shri Alok Kumar Suman ,10,0,
337,Shri Ramprit Mandal ,10,0,
340,Shri Ashok Kumar Yadav ,10,0,
341,Shri Gopal Ji Thakur ,10,0,
342,Shri Kishan Kapoor ,10,0,
344,Shri Nayab Singh ,10,0,
345,Shri Basanta Kumar Panda ,10,0,
346,Dr. Rajkumar Ranjan Singh ,10,0,
347,Shri Sunil Soren ,10,0,
348,Shri Suresh Pujari ,10,0,
349,Shri Sanjay Mandlik ,8,2,
350,Shri Sunil Kumar Pintu ,10,0,
351,Smt. Veena Devi ,10,0,
352,Shri Subrata Pathak ,9,1,
353,Shri Dilip Saikia ,3,7,
354,Shri Narendra Kumar ,10,0,
355,Shri Dhairyasheel S. Mane ,5,5,
356,Shri Chandeshwar Prasad ,9,1,
357,Shri Vijay Kumar Manjhi ,10,0,
358,Shri Ajay Kumar Mandal ,6,4,
359,Shri Hemant Patil ,10,0,
363,Shri Naba Kumar Sarania ,8,2,
364,Shri Imtiaz Jaleel Syed ,10,0,
365,Shri P.V. Midhun Reddy ,7,3,
367,Shri Pinaki Misra ,10,0,
368,Shri Magunta Sreenivasulu Reddy ,7,3,
369,Shri Kalyan Banerjee ,9,1,
370,Shri Nama Nageswara Rao ,10,0,
371,Shri Ritesh Pandey ,10,0,
372,Shri Bhartruhari Mahtab ,10,0,
373,Shri Balashowry Vallabbhaneni ,7,3,
374,Prof. Saugata Roy ,7,3,
375,Shri Jayadev Galla ,10,0,
376,Shri Kotha Prabhakar Reddy ,4,6,
377,Shri Girish Chandra ,10,0,
379,Shri Margani Bharat ,8,2,
381,Shri B. B. Patil ,9,1,
382,Shri Malook Nagar ,10,0,
383,Shri Achyutananda Samanta ,5,5,
385,Shri Kotagiri Sridhar ,10,0,
386,Dr. Kakoli Ghosh Dastidar ,4,6,
388,Shri K. Ram Mohan Naidu ,9,1,
389,Shri Pothuganti Ramulu ,9,1,
390,Shri Afzal Ansari ,4,6,
391,Shri Anubhav Mohanty ,9,1,
392,Shri Nandigam Suresh ,6,4,
393,Shri Adala Prabhakara Reddy ,4,6,
395,Smt. Satabdi Roy ,9,1,
396,Shri Dayakar Pasunoori ,8,2,
397,Shri Kesineni Srinivas ,9,1,
398,Shri Kunwar Danish Ali ,10,0,
403,Shri Lavu Sri Krishna Devarayalu ,9,1,
404,Shri Prasun Banerjee ,9,1,
405,Smt. Pratima Mondal ,9,1,
407,Smt. Kavitha Malothu ,6,4,
408,Smt. Sangeeta Azad ,10,0,
409,Smt. Rajashree Mallick ,3,7,
410,Dr. Beesetti Venkata Satyavathi ,10,0,
413,Shri P.R. Natarajan ,8,2,
414,Adv. A. M. Ariff ,9,1,
415,Shri Sunil Kumar Mondal ,9,1,
416,Smt. Aparupa Poddar (Afrin Ali) ,6,4,
418,Shri Manne Srinivas Reddy ,8,2,
419,Shri Shyam Singh Yadav ,10,0,
420,Smt. Manjulata Mandal ,10,0,
421,Shri Bellana Chandra Sekhar ,9,1,
424,Shri Venkatesan S. ,9,1,
427,Dr. G. Ranjith Reddy ,8,2,
428,Shri Haji Fazlur Rehman ,5,5,
429,Shri Shiromani Ram ,10,0,
430,Smt. Pramila Bisoyi ,7,3,
431,Ms. Chandrani Murmu ,10,0,
432,Shri Talari Rangaiah ,10,0,
433,Dr. Ayushman Doctor Sanjeev Kumar ,5,5,
434,Shri Kuruva Gorantla Madhav ,9,1,
437,Smt. Nusrat Jahan Ruhi ,4,6,
438,Ms. Mahua Moitra ,9,1,
439,Shri Bhagwant Mann ,9,1,
440,Shri Venkatesh Netha Borlakunta ,8,2,
442,Smt. Sarmistha Sethi ,1,9,
443,Shri Pocha Brahmananda Reddy ,8,2,
444,Shri M V V Satyanarayana ,8,2,
445,Shri Kanumuru Raghu Ramakrishna Raju ,10,0,
446,Shri Abu Taher Khan ,4,6,
450,Shri T.R.V.S. Ramesh ,2,8,
452,Dr. M.K. Vishnu Prasad ,3,7,
453,Adv. Dean Kuriakose ,10,0,
454,Shri T. R. Baalu ,7,3,
455,Shri Mulayam Singh Yadav ,9,1,
456,Shri Farooq Abdullah ,9,1,
458,Shri Adhir Ranjan Chowdhury ,10,0,
460,Shri Akhilesh Yadav ,4,6,
461,Smt. K. Kanimozhi ,7,3,
462,Smt. Supriya Sule ,9,1,
463,Shri E. T. Mohammed Basheer ,10,0,
463,Shri P.K. Kunhalikutty ,6,4,
464,Shri A Raja ,8,2,
465,Shri Kodikunnil Suresh ,10,0,
467,Shri K. Muraleedharan ,10,0,
468,Dr. Shashi Tharoor ,10,0,
469,Shri Dayanidhi Maran ,10,0,
471,Shri Francisco Sardinha ,10,0,
473,Smt. Preneet Kaur ,2,8,
474,Shri N.K. Premachandran ,6,4,
475,Shri Asaduddin Owaisi ,4,6,
476,Shri Vijay Kumar Hansdak ,7,3,
477,Shri Shriniwas Dadasaheb Patil ,10,0,
478,Shri M. K. Raghavan ,10,0,
479,Shri Anto Antony ,7,3,
481,Shri Abu Hasem Khan Choudhury ,9,1,
482,Shri Ravneet Singh Bittu ,8,2,
483,Shri Gaurav Gogoi ,10,0,
484,Shri Badruddin Ajmal ,7,3,
485,Shri D K Suresh ,10,0,
486,Shri Sunil Tatkare Dattatray ,9,1,
487,Shri K Sudhakaran ,2,8,
488,Shri Thomas Chazhikadan ,9,1,
489,Shri Vaithilingam Ve. ,9,1,
490,Shri Manish Tiwari ,10,0,
491,Shri Uttam Kumar Reddy Nalamada ,8,2,
492,Shri Manickam Tagore ,9,1,
494,Shri Gurjeet Singh Aujla ,10,0,
495,Shri Vincent H Pala ,10,0,
497,Shri Santokh Singh Chaudhary ,9,1,
498,Shri Saptagiri Ulaka ,10,0,
499,Shri Mohammad Akbar Lone ,9,1,
500,Shri Amar Singh ,8,2,
501,Dr. Kalanidhi Veeraswamy ,9,1,
502,Shri Mohammed Faizal P.P. ,10,0,
503,Shri Prajwal Revanna ,10,0,
504,Shri Behanan Benny ,9,1,
505,Shri Kuldeep Rai Sharma ,7,3,
506,Dr. Mohammad Jawed ,10,0,
507,Shri Pradyut Bordoloi ,10,0,
508,Shri C.N. Annadurai ,7,3,
509,Dr. Amol Ramsing Kolhe ,5,5,
511,Shri Hibi Eden ,10,0,
515,Shri Deepak Baij ,10,0,
516,Shri Abdul Khaleque ,10,0,
517,Shri Nakul K. Nath ,7,3,
518,Dr. T. Sumathy (A) Thamizhachi Thangapandian ,9,1,
519,Adv. Adoor Prakash ,8,2,
520,Shri V.K. Sreekandan ,10,0,
522,Shri Balubhau @ Suresh Narayan Dhanorkar ,9,1,
523,Dr. Gautham Sigamani Pon ,9,1,
524,Shri Rajmohan Unnithan ,10,0,
525,Shri Shafiqur Rehman Barq ,10,0,
526,Shri K. Navaskani ,10,0,
528,Shri T.N. Prathapan ,10,0,
529,Dr. K. Jayakumar ,10,0,
530,Shri Anumula Revanth Reddy ,8,2,
531,Ms. S. Jothimani ,10,0,
532,Shri D. M. Kathir Anand ,5,5,
534,Dr. S.T. Hasan ,10,0,
535,Ms. Ramya Haridas ,10,0,
536,Smt. Geeta Kora ,10,0,
537,Dr. DNV Senthilkumar. S. ,10,0,
538,Shri Hasnain Masoodi ,9,1,
540,Shri Dhanush M Kumar ,10,0,
542,Shri Karti P. Chidambaram ,10,0,
543,Shri Komati Reddy Venkat Reddy ,4,6,
545,Shri S.R. Parthiban ,9,1,
546,Shri A.K.P. Chinraj ,10,0,
548,Shri Jasbir Singh Gill ,10,0,
549,Shri K. Shanmuga Sundaram ,9,1,
550,Shri P. Velusamy ,9,1,